"long","lat","unique_squirrel_id","shift","date","age","primary_fur_color","activities","interaction","lat_long"
-73.9697160572446,40.7711445570446,"9H-AM-1006-02","AM",10062018,"Adult","Gray","foraging","indifferent","POINT (-73.96971605724461 40.7711445570446)"
-73.9580021017892,40.7955140102242,"37D-PM-1014-07","PM",10142018,"Adult","Gray","foraging","runs away","POINT (-73.9580021017892 40.7955140102242)"
-73.9677146741772,40.7788231332337,"17E-AM-1017-07","AM",10172018,"Adult","Gray","chasing","indifferent","POINT (-73.9677146741772 40.7788231332337)"
-73.9687134137786,40.7812207913391,"19C-PM-1018-03","PM",10182018,"Adult","Gray","chasing","indifferent","POINT (-73.9687134137786 40.7812207913391)"
-73.95488263914,40.7959474571251,"39F-AM-1014-05","AM",10142018,"Juvenile","Cinnamon","running","indifferent","POINT (-73.95488263914 40.7959474571251)"
-73.9710801547498,40.7760872452093,"13D-AM-1014-03","AM",10142018,"Juvenile","Gray","chasing","runs away","POINT (-73.9710801547498 40.7760872452093)"
-73.9704677007779,40.7786860108302,"16C-PM-1018-02","PM",10182018,"Adult","Gray","chasing","indifferent","POINT (-73.9704677007779 40.7786860108302)"
-73.9655233748105,40.7792737287734,"18G-AM-1014-01","AM",10142018,"Juvenile","Gray","climbing","indifferent","POINT (-73.9655233748105 40.7792737287734)"
-73.970442878377,40.7763755560359,"14E-AM-1008-22","AM",10082018,"Adult","Gray","eating","indifferent","POINT (-73.970442878377 40.7763755560359)"
-73.9773495807135,40.7664559937331,"1E-AM-1006-05","AM",10062018,"Adult","Gray","climbing","indifferent","POINT (-73.9773495807135 40.7664559937331)"
-73.9681202146851,40.7743979416812,"13G-PM-1008-04","PM",10082018,"Adult","Gray","foraging","indifferent","POINT (-73.9681202146851 40.7743979416812)"
-73.9745009906157,40.7741574075364,"10C-AM-1018-01","AM",10182018,"Adult","Gray","climbing","indifferent","POINT (-73.9745009906157 40.7741574075364)"
-73.9761632586697,40.7741085606149,"9B-PM-1013-05","PM",10132018,"Juvenile","Gray","running","indifferent","POINT (-73.9761632586697 40.7741085606149)"
